"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/01/2007","AQS","060732007","1","29","ppb","27","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/02/2007","AQS","060732007","1","39","ppb","37","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/03/2007","AQS","060732007","1","24","ppb","23","Otay Mesa","21","88.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/04/2007","AQS","060732007","1","26","ppb","25","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/05/2007","AQS","060732007","1","35","ppb","33","Otay Mesa","21","88.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/06/2007","AQS","060732007","1","18","ppb","17","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/07/2007","AQS","060732007","1","19","ppb","18","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/08/2007","AQS","060732007","1","16","ppb","15","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/09/2007","AQS","060732007","1","25","ppb","24","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/10/2007","AQS","060732007","1","35","ppb","33","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
"04/11/2007","AQS","060732007","1","37","ppb","35","Otay Mesa","23","96.0000","42602","Nitrogen dioxide (NO2)","037","41740","San Diego-Carlsbad, CA","06","California","073","San Diego","32.5521640008562","-116.937772"
