"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","083","0011","62101","2","34.427775","-119.691218","WGS84","Outdoor Temperature","1 HOUR","","2017-01-03","2017","003","Degrees Fahrenheit","None","","24","100.0000","","53.979167","","57.4","12",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","61104","1","34.427775","-119.691218","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-03","2017","003","Degrees Compass","None","","24","100.0000","","123.333333","","305","6",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42101","3","34.427775","-119.691218","WGS84","Carbon monoxide","1 HOUR","CO 1-hour 1971","2017-01-03","2017","003","Parts per million","None","","23","96.0000","","0.280348","","1.294","8",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42101","3","34.427775","-119.691218","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","2017-01-03","2017","003","Parts per million","None","","24","100.0000","","0.2875","","0.5","9","6","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42602","1","34.427775","-119.691218","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2017-01-03","2017","003","Parts per billion","None","","23","96.0000","","6.96087","","22.8","8","21","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","62102","1","34.427775","-119.691218","WGS84","Virtual Temperature","1 HOUR","","2017-01-04","2017","004","Degrees Fahrenheit","None","","23","96.0000","","57.321739","","58.6","23",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42602","1","34.427775","-119.691218","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2017-01-04","2017","004","Parts per billion","None","","23","96.0000","","6.613043","","12.6","20","11","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42603","1","34.427775","-119.691218","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2017-01-04","2017","004","Parts per billion","None","","23","96.0000","","8.086957","","13.9","20",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","61104","1","34.427775","-119.691218","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-04","2017","004","Degrees Compass","None","","23","96.0000","","99.173913","","133","22",".","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
"06","083","0011","42602","1","34.427775","-119.691218","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2017-01-04","2017","004","Parts per billion","None","","23","96.0000","","6.613043","","12.6","20","11","Y","","California","Santa Barbara","Santa Barbara","Santa Barbara","700 E. CANON PERDIDO","Santa Maria-Santa Barbara, CA","AQS Data Mart"
